ID,tackleWonTotal,tackleTotalAttempted,challengeLost
949,7.0,19.0,12.0
950,6.0,12.0,6.0
951,1.0,1.0,0.0
952,1.0,1.0,0.0
953,0.0,1.0,1.0
954,2.0,4.0,2.0
955,3.0,8.0,5.0
956,4.0,10.0,6.0
957,4.0,16.0,12.0
958,6.0,9.0,3.0
959,8.0,19.0,11.0
960,1.0,2.0,1.0
961,14.0,31.0,17.0
962,16.0,35.0,19.0
963,12.0,21.0,9.0
964,11.0,29.0,18.0
965,17.0,33.0,16.0
966,4.0,7.0,3.0
967,2.0,6.0,4.0
968,3.0,4.0,1.0
969,2.0,2.0,0.0
970,5.0,20.0,15.0
971,4.0,13.0,9.0
972,0.0,1.0,1.0
973,8.0,20.0,12.0
974,2.0,2.0,0.0
975,3.0,11.0,8.0
976,5.0,9.0,4.0
977,1.0,4.0,3.0
978,3.0,4.0,1.0
979,3.0,19.0,16.0
980,0.0,0.0,0.0
981,0.0,2.0,2.0
982,0.0,2.0,2.0
983,4.0,8.0,4.0
984,1.0,1.0,0.0
985,2.0,3.0,1.0
986,1.0,3.0,2.0
987,4.0,7.0,3.0
988,0.0,4.0,4.0
