ID,dribbleLost,dribbleTotal,dribbleWon
680,1.0,3.0,2.0
681,18.0,26.0,8.0
682,17.0,34.0,17.0
683,8.0,24.0,16.0
684,5.0,10.0,5.0
685,11.0,24.0,13.0
686,29.0,83.0,54.0
687,1.0,4.0,3.0
688,1.0,2.0,1.0
689,6.0,7.0,1.0
690,9.0,20.0,11.0
691,11.0,30.0,19.0
692,3.0,4.0,1.0
693,0.0,0.0,0.0
694,37.0,77.0,40.0
695,25.0,50.0,25.0
696,10.0,16.0,6.0
697,2.0,5.0,3.0
698,10.0,15.0,5.0
699,10.0,11.0,1.0
700,9.0,16.0,7.0
701,0.0,1.0,1.0
702,4.0,6.0,2.0
703,5.0,14.0,9.0
704,4.0,9.0,5.0
705,8.0,11.0,3.0
706,6.0,8.0,2.0
707,1.0,3.0,2.0
708,15.0,23.0,8.0
709,10.0,21.0,11.0
710,3.0,7.0,4.0
711,27.0,62.0,35.0
712,0.0,2.0,2.0
713,3.0,9.0,6.0
714,22.0,53.0,31.0
715,4.0,7.0,3.0
716,3.0,7.0,4.0
717,9.0,17.0,8.0
718,6.0,10.0,4.0
719,4.0,7.0,3.0
720,6.0,8.0,2.0
721,14.0,22.0,8.0
722,3.0,7.0,4.0
723,6.0,12.0,6.0
724,7.0,12.0,5.0
725,5.0,15.0,10.0
726,17.0,38.0,21.0
727,2.0,5.0,3.0
728,18.0,28.0,10.0
729,8.0,15.0,7.0
730,3.0,6.0,3.0
731,0.0,0.0,0.0
732,6.0,10.0,4.0
733,2.0,4.0,2.0
734,3.0,8.0,5.0
735,0.0,3.0,3.0
736,11.0,24.0,13.0
737,4.0,6.0,2.0
738,5.0,7.0,2.0
739,2.0,3.0,1.0
740,2.0,7.0,5.0
741,12.0,29.0,17.0
742,0.0,2.0,2.0
743,8.0,13.0,5.0
744,4.0,4.0,0.0
745,0.0,0.0,0.0
746,1.0,1.0,0.0
747,3.0,6.0,3.0
748,6.0,8.0,2.0
749,6.0,16.0,10.0
750,6.0,10.0,4.0
751,1.0,6.0,5.0
752,1.0,1.0,0.0
753,1.0,2.0,1.0
754,24.0,32.0,8.0
755,3.0,3.0,0.0
756,1.0,1.0,0.0
757,0.0,0.0,0.0
758,0.0,3.0,3.0
759,1.0,1.0,0.0
760,1.0,1.0,0.0
761,0.0,0.0,0.0
762,1.0,1.0,0.0
763,7.0,13.0,6.0
764,0.0,0.0,0.0
765,0.0,2.0,2.0
766,0.0,0.0,0.0
767,0.0,2.0,2.0
768,1.0,2.0,1.0
769,3.0,5.0,2.0
770,2.0,2.0,0.0
771,2.0,3.0,1.0
772,1.0,2.0,1.0
773,0.0,2.0,2.0
774,4.0,5.0,1.0
775,0.0,0.0,0.0
776,3.0,4.0,1.0
777,2.0,3.0,1.0
778,1.0,2.0,1.0
779,0.0,0.0,0.0
780,2.0,3.0,1.0
781,0.0,0.0,0.0
782,0.0,0.0,0.0
783,0.0,0.0,0.0
784,3.0,3.0,0.0
785,2.0,6.0,4.0
786,48.0,143.0,95.0
787,1.0,5.0,4.0
788,23.0,62.0,39.0
789,22.0,65.0,43.0
790,2.0,8.0,6.0
791,5.0,19.0,14.0
792,3.0,3.0,0.0
793,0.0,0.0,0.0
794,24.0,82.0,58.0
795,13.0,25.0,12.0
796,26.0,52.0,26.0
797,5.0,19.0,14.0
798,21.0,46.0,25.0
799,3.0,8.0,5.0
800,2.0,6.0,4.0
801,20.0,33.0,13.0
802,0.0,0.0,0.0
803,1.0,2.0,1.0
804,0.0,3.0,3.0
805,7.0,15.0,8.0
806,18.0,36.0,18.0
807,2.0,6.0,4.0
808,28.0,64.0,36.0
809,14.0,33.0,19.0
810,4.0,7.0,3.0
811,14.0,24.0,10.0
812,4.0,7.0,3.0
813,9.0,17.0,8.0
814,18.0,54.0,36.0
815,2.0,10.0,8.0
816,3.0,5.0,2.0
817,6.0,11.0,5.0
818,10.0,24.0,14.0
819,10.0,25.0,15.0
820,10.0,37.0,27.0
821,4.0,12.0,8.0
822,0.0,2.0,2.0
823,15.0,25.0,10.0
824,5.0,14.0,9.0
825,6.0,17.0,11.0
826,4.0,9.0,5.0
827,3.0,24.0,21.0
828,10.0,26.0,16.0
829,4.0,8.0,4.0
830,2.0,3.0,1.0
831,2.0,8.0,6.0
832,18.0,32.0,14.0
833,2.0,6.0,4.0
834,2.0,9.0,7.0
835,19.0,33.0,14.0
836,11.0,35.0,24.0
837,4.0,7.0,3.0
838,21.0,36.0,15.0
839,5.0,9.0,4.0
840,49.0,113.0,64.0
841,11.0,19.0,8.0
842,5.0,19.0,14.0
843,3.0,9.0,6.0
844,8.0,15.0,7.0
845,1.0,3.0,2.0
846,8.0,18.0,10.0
847,9.0,13.0,4.0
848,3.0,8.0,5.0
849,2.0,2.0,0.0
850,0.0,2.0,2.0
851,2.0,6.0,4.0
852,10.0,28.0,18.0
853,0.0,2.0,2.0
854,4.0,7.0,3.0
855,2.0,3.0,1.0
856,6.0,18.0,12.0
857,9.0,17.0,8.0
858,7.0,15.0,8.0
859,4.0,17.0,13.0
860,17.0,40.0,23.0
861,0.0,1.0,1.0
862,4.0,7.0,3.0
863,4.0,6.0,2.0
864,16.0,38.0,22.0
865,3.0,7.0,4.0
866,1.0,3.0,2.0
867,5.0,7.0,2.0
868,0.0,0.0,0.0
869,2.0,3.0,1.0
870,8.0,10.0,2.0
871,0.0,2.0,2.0
872,13.0,17.0,4.0
873,0.0,0.0,0.0
874,3.0,4.0,1.0
875,2.0,6.0,4.0
876,11.0,18.0,7.0
877,6.0,13.0,7.0
878,4.0,7.0,3.0
879,1.0,1.0,0.0
880,0.0,3.0,3.0
881,1.0,1.0,0.0
882,1.0,3.0,2.0
883,6.0,7.0,1.0
884,2.0,4.0,2.0
885,4.0,4.0,0.0
886,1.0,1.0,0.0
887,2.0,2.0,0.0
888,0.0,0.0,0.0
889,1.0,1.0,0.0
890,1.0,3.0,2.0
891,1.0,2.0,1.0
892,0.0,0.0,0.0
893,25.0,67.0,42.0
894,0.0,4.0,4.0
895,0.0,3.0,3.0
896,9.0,12.0,3.0
897,18.0,39.0,21.0
898,4.0,11.0,7.0
899,2.0,3.0,1.0
900,29.0,67.0,38.0
901,0.0,3.0,3.0
902,22.0,48.0,26.0
903,10.0,26.0,16.0
904,19.0,31.0,12.0
905,0.0,1.0,1.0
906,6.0,11.0,5.0
907,13.0,30.0,17.0
908,6.0,23.0,17.0
909,8.0,16.0,8.0
910,13.0,43.0,30.0
911,4.0,16.0,12.0
912,3.0,6.0,3.0
913,2.0,7.0,5.0
914,5.0,9.0,4.0
915,7.0,15.0,8.0
916,3.0,7.0,4.0
917,2.0,3.0,1.0
918,10.0,31.0,21.0
919,38.0,81.0,43.0
920,9.0,21.0,12.0
921,25.0,45.0,20.0
922,1.0,1.0,0.0
923,7.0,14.0,7.0
924,13.0,28.0,15.0
925,2.0,5.0,3.0
926,7.0,16.0,9.0
927,6.0,10.0,4.0
928,13.0,25.0,12.0
929,7.0,16.0,9.0
930,3.0,3.0,0.0
931,16.0,30.0,14.0
932,2.0,7.0,5.0
933,4.0,7.0,3.0
934,27.0,41.0,14.0
935,9.0,30.0,21.0
936,18.0,32.0,14.0
937,6.0,8.0,2.0
938,26.0,49.0,23.0
939,5.0,12.0,7.0
940,12.0,31.0,19.0
941,1.0,4.0,3.0
942,11.0,18.0,7.0
943,17.0,35.0,18.0
944,1.0,2.0,1.0
945,14.0,20.0,6.0
946,18.0,41.0,23.0
947,1.0,4.0,3.0
948,9.0,17.0,8.0
949,7.0,15.0,8.0
950,23.0,51.0,28.0
951,4.0,8.0,4.0
952,2.0,3.0,1.0
953,1.0,3.0,2.0
954,2.0,3.0,1.0
955,12.0,28.0,16.0
956,6.0,11.0,5.0
957,18.0,38.0,20.0
958,0.0,9.0,9.0
959,3.0,3.0,0.0
960,1.0,2.0,1.0
961,17.0,28.0,11.0
962,8.0,20.0,12.0
963,10.0,22.0,12.0
964,22.0,58.0,36.0
965,4.0,9.0,5.0
966,10.0,17.0,7.0
967,3.0,11.0,8.0
968,6.0,9.0,3.0
969,0.0,0.0,0.0
970,14.0,34.0,20.0
971,17.0,31.0,14.0
972,1.0,2.0,1.0
973,13.0,24.0,11.0
974,1.0,2.0,1.0
975,3.0,5.0,2.0
976,0.0,1.0,1.0
977,1.0,2.0,1.0
978,2.0,2.0,0.0
979,5.0,12.0,7.0
980,0.0,0.0,0.0
981,0.0,2.0,2.0
982,3.0,5.0,2.0
983,4.0,7.0,3.0
984,0.0,0.0,0.0
985,0.0,1.0,1.0
986,1.0,3.0,2.0
987,0.0,0.0,0.0
988,0.0,1.0,1.0
989,0.0,0.0,0.0
990,4.0,7.0,3.0
