ID,foulGiven,foulCommitted
1024,56.0,28.0
1025,2.0,0.0
1026,5.0,1.0
1027,5.0,4.0
1028,20.0,5.0
1029,1.0,4.0
1030,10.0,5.0
1031,27.0,20.0
1032,2.0,6.0
1033,31.0,14.0
1034,26.0,17.0
1035,30.0,42.0
1036,20.0,36.0
1037,23.0,25.0
1038,3.0,0.0
1039,4.0,10.0
1040,23.0,11.0
1041,7.0,5.0
1042,15.0,21.0
1043,15.0,22.0
1044,5.0,3.0
1045,6.0,12.0
1046,9.0,12.0
1047,2.0,2.0
1048,16.0,14.0
1049,31.0,16.0
1050,5.0,6.0
1051,3.0,3.0
1052,4.0,13.0
1053,33.0,60.0
1054,3.0,1.0
1055,3.0,22.0
1056,9.0,12.0
1057,10.0,15.0
1058,5.0,5.0
1059,8.0,7.0
1060,2.0,0.0
1061,7.0,0.0
1062,1.0,0.0
1063,23.0,5.0
1064,1.0,0.0
1065,4.0,5.0
1066,4.0,5.0
1067,22.0,10.0
1068,5.0,5.0
1069,13.0,17.0
1070,1.0,0.0
1071,0.0,1.0
1072,10.0,11.0
1073,3.0,0.0
1074,49.0,40.0
1075,13.0,18.0
1076,0.0,1.0
1077,2.0,0.0
1078,3.0,3.0
1079,5.0,7.0
1080,1.0,3.0
1081,1.0,1.0
1082,8.0,12.0
1083,3.0,1.0
1084,0.0,2.0
1085,4.0,14.0
1086,1.0,2.0
1087,5.0,6.0
1088,2.0,8.0
1089,6.0,6.0
1090,2.0,2.0
1091,1.0,1.0
1092,3.0,4.0
1093,2.0,0.0
1094,1.0,1.0
1095,1.0,1.0
1096,2.0,5.0
1097,5.0,1.0
1098,4.0,1.0
1099,1.0,1.0
1100,0.0,1.0
1101,1.0,1.0
1102,0.0,3.0
1103,0.0,1.0
1104,2.0,0.0
1105,28.0,41.0
1106,0.0,1.0
1107,12.0,4.0
1108,8.0,3.0
1109,22.0,20.0
1110,1.0,0.0
1111,34.0,18.0
1112,8.0,15.0
1113,3.0,8.0
1114,17.0,8.0
1115,27.0,30.0
1116,11.0,13.0
1117,1.0,5.0
1118,12.0,9.0
